attribute,zero_color,one_color
Norm_Population,#FFFFFF,#FF0000
total_crime_index,#FFFFFF,#FF4500
Index.offenses.total,#FFFFFF,#FF7F50
Violent.crime.total,#FFFFFF,#FFA500
Murder.and.nonnegligent.Manslaughter,#FFFFFF,#FFD700
Forcible.rape,#FFFFFF,#FFFF00
Robbery,#FFFFFF,#00FF00
Aggravated.assault,#FFFFFF,#00FFFF
Property.crime.total,#FFFFFF,#0000FF
Burglary,#FFFFFF,#8A2BE2
Larceny.theft,#FFFFFF,#4B0082
Motor.vehicle.theft,#FFFFFF,#800080


Index.offense.rate,#FFFFFF,#8B0000
Violent.Crime.rate,#FFFFFF,#CD5C5C
Murder.and.nonnegligent.manslaughter.rate,#FFFFFF,#DC143C
Forcible.rape.rate,#FFFFFF,#FF69B4
Robbery.rate,#FFFFFF,#FF1493
Aggravated.assault.rate,#FFFFFF,#BA55D3
Property.crime.rate,#FFFFFF,#4169E1
Burglary.rate,#FFFFFF,#00BFFF
Larceny.theft.rate,#FFFFFF,#7FFFD4
Motor.vehicle.theft.rate,#FFFFFF,#20B2AA
